epoch,acc,auc,fn,fp,loss,lr,tn,tp,val_acc,val_auc,val_fn,val_fp,val_loss,val_tn,val_tp
86,0.698,0.7677003,1167.0,645.0,0.5618342872957388,0.001,2355.0,1833.0,0.68881357,0.7624634,724.0,194.0,0.5713345793344207,1281.0,751.0
87,0.712,0.7799456,1118.0,610.0,0.5508519889911015,0.001,2390.0,1882.0,0.6701695,0.7521101,805.0,168.0,0.5886323044865819,1307.0,670.0
88,0.7015,0.7689144,1164.0,627.0,0.5594184272487959,0.001,2373.0,1836.0,0.6772881,0.7434118,645.0,307.0,0.5782855602644258,1168.0,830.0
89,0.7076667,0.77815574,1156.0,598.0,0.5530075194438299,0.001,2402.0,1844.0,0.68237287,0.748693,634.0,303.0,0.5765539525424019,1172.0,841.0
90,0.70633334,0.77155924,1124.0,638.0,0.5582114650309086,0.001,2362.0,1876.0,0.6816949,0.7478484,663.0,276.0,0.5720097943887872,1199.0,812.0
91,0.69416666,0.76317465,1183.0,652.0,0.5621222645541032,0.001,2348.0,1817.0,0.6657627,0.7294302,811.0,175.0,0.5898956106880964,1300.0,664.0
92,0.6965,0.76150036,1214.0,607.0,0.5636608495811621,0.001,2393.0,1786.0,0.67118645,0.7347452,502.0,468.0,0.5895254542261867,1007.0,973.0
93,0.694,0.76411533,1162.0,674.0,0.5646527979771296,0.001,2326.0,1838.0,0.66169494,0.72505164,868.0,130.0,0.5999241389460482,1345.0,607.0
94,0.715,0.78293115,1083.0,627.0,0.5496247366567453,0.001,2373.0,1917.0,0.679322,0.7452743,731.0,215.0,0.5790411509699741,1260.0,744.0
95,0.7015,0.76083344,1202.0,589.0,0.5633909683922926,0.001,2411.0,1798.0,0.68881357,0.7540631,674.0,244.0,0.5689666195441101,1231.0,801.0
96,0.7201667,0.7827644,1155.0,524.0,0.5425502366572619,0.001,2476.0,1845.0,0.6559322,0.71374494,858.0,157.0,0.6052658152782311,1318.0,617.0
97,0.7071667,0.7695745,1195.0,562.0,0.5575383658458789,0.001,2438.0,1805.0,0.66847456,0.74548024,483.0,495.0,0.5948076554274155,980.0,992.0
98,0.7145,0.7825622,1117.0,596.0,0.5495447867612044,0.001,2404.0,1883.0,0.6640678,0.7422943,567.0,424.0,0.5837663472203886,1051.0,908.0
99,0.708,0.7767367,1170.0,582.0,0.5492074828843275,0.001,2418.0,1830.0,0.6677966,0.7443311,813.0,167.0,0.5802663924330372,1308.0,662.0
100,0.7043333,0.7721452,1136.0,638.0,0.5582749627530574,0.001,2362.0,1864.0,0.680339,0.75326574,790.0,153.0,0.5957591223514687,1322.0,685.0
101,0.709,0.7787188,1130.0,616.0,0.551535803625981,0.001,2384.0,1870.0,0.6922034,0.7609021,748.0,160.0,0.5722805371728994,1315.0,727.0
102,0.7076667,0.7803078,1139.0,615.0,0.5487490114569664,0.001,2385.0,1861.0,0.68067795,0.7530547,742.0,200.0,0.5761707340761767,1275.0,733.0
103,0.7111667,0.77133334,1149.0,584.0,0.555397846698761,0.001,2416.0,1851.0,0.68067795,0.75072044,845.0,97.0,0.5903298690157421,1378.0,630.0
104,0.699,0.76687515,1179.0,627.0,0.5599612639347712,0.001,2373.0,1821.0,0.67322034,0.74626625,778.0,186.0,0.5826423569250915,1289.0,697.0
105,0.7136667,0.77959347,1175.0,543.0,0.5465761553496122,0.001,2457.0,1825.0,0.66677964,0.7382016,835.0,148.0,0.5999777145304922,1327.0,640.0
106,0.71,0.7857842,1132.0,608.0,0.5443389052152634,0.001,2392.0,1868.0,0.6623729,0.73098904,610.0,386.0,0.5854437512866522,1089.0,865.0
107,0.7183333,0.78226054,1121.0,569.0,0.5438180446873109,0.001,2431.0,1879.0,0.6657627,0.74022496,743.0,243.0,0.590183298668619,1232.0,732.0
